customerid,hashed_name,registration_date,country_code
181,IO3PhiIMTZbQ3t8m4lQVhy27P45gP8Gd0S7g/ntAbPo=,2019-03-02 04:06:37,IT
182,V2nUb/R6qWA+N4vwB9xEasQSxS60v/gjN23AKOkGV/g=,2019-03-02 04:08:09,DE
183,5W6EcKaopL1S7RDxgjhFL8DbkHEiYevX52DxD+0ElD8=,2019-03-02 04:08:50,NL
184,FDfdvzxUnjWvKakTFdROMxTF9FAOjX8n2vIFgpIv0qY=,2019-03-02 04:16:00,DE
185,5W6EcKaopL1S7RDxgjhFL8DbkHEiYevX52DxD+0ElD8=,2019-03-02 04:16:56,GB
186,KiWm4vlTphSUaCoUPIDdW5XFmLgya1srtR9yMtvp4SU=,2019-03-02 04:19:17,PL
187,VDhGKcBHM2DMFcwijgvL0HH43r1JXxQFMuHXvJZw/h4=,2019-03-02 04:19:43,GB
188,f8foi43vnQd78GqsY0ZgRKBnXRvfE4MwRij6KQwc+6g=,2019-03-02 04:21:06,PL
189,WUIHMoyItxojl+7iCAaxXe+I9/2Dm6sI4ZMeQecxIZ0=,2019-03-02 04:24:38,BJ
190,5qfw7QClcWuZpzrf34SDowUhlLxA/1Gs7FjrnsZL4/o=,2019-03-02 04:29:37,NO
191,Twakm3jhRFVEkmKq8QhWOYS/mIvYP+ufQUu3UM/UE4Q=,2019-03-02 04:30:43,NL
192,Y1nRIWYHb8DvV18xto9yap0+6AUv3LqfUcatC1reSJ0=,2019-03-02 04:31:58,BD
193,3APlqMx0522tvrS7DAaby9bIr3CT5mrQf0l00HFg+JQ=,2019-03-02 04:32:12,PL
194,jyk95wi969Vhv5OjOtmoiME1hgo0FaJFzOxuXflo+Gs=,2019-03-02 04:33:57,IT
195,8MbiT/NzRR2BlzGtjLesr7NrQNK8W7GDv7hv2CVGly0=,2019-03-02 04:34:43,PL
196,5xW07XZ+gDU5+S7poP4D4gqD3ZMwv0tDqtzRGYBwsLs=,2019-03-02 04:34:56,NO
197,5W6EcKaopL1S7RDxgjhFL8DbkHEiYevX52DxD+0ElD8=,2019-03-02 04:40:22,PL
198,ILz2ttG+GND9at+JX/sW5PoxQ631MYKeuX3KP+uHkxg=,2019-03-02 04:44:35,PL
199,ebesda2e7NYtH5UWCENLjarqBs8b7t904+/obpE0DC0=,2019-03-02 04:52:44,DE
200,g7c/qTWVDAbzpe7iQt26vR0UxSsS2hE6UlD6YNpMLF0=,2019-03-02 04:55:38,PL
